Owner,Collateral Type,Collateral Amount,Debt,Successfully Liquidated
SP3N6FS2TMC021WCAKBV4MGKCEZHD3HK6B2TJ23XJ,STX-A,105279591015,30037158840,True
SP2XZRATG85ZVG35VYE9KXNA3BZ51HR9FESN1Z75P,STX-B,237753,154492,True
SP2WR6KMXZA4953GHW1B9YXWSJYYJANM2M6B0GPZS,STX-B,10000000,3000000,True
SP35GASMB3XN98MHCDKR7SVK8TP2SQPEJEX877D73,STX-A,83080,22058,True
SPHPHNN5XPAHCZWB5M5PVZ1KK8GY9C4KB1R7N6Z7,STX-A,3281921173,1700000000,False
SPKQ7Y5HQ56S9E93X27YA31GV65SY6BYWA48SFF6,STX-A,193598,64796,True
,,0,0,False
SP3EKY8XPBFNTFJY4Y3V926HDK5AJD33Z30RZTX1G,STX-B,111869416,75004533,False
SP2XFJN4A315QNCYAVPXXTT4ZSDBZRNK835BYQMPZ,STX-A,1063698692,546000000,True
SP2FHZCB4BWX89EE1V1Q4YZMF77ASX0GBCG13ZQM0,STX-A,281000000,153000000,True
SPYABRXAJRTERW97VT4P5ACESQRNTD2Q16C9YQ2F,STX-A,10486262193,4886729663,False
SP2SS5X5R5H1QG2Z9G2P2S0MMCKPJ149MW6QVST4W,STX-A,61221,21611,True
SPX6Y3434EC3H5Q2AEHBKAT6ZS3BFY39053A42JN,STX-A,1000000,500000,True
SP11588JNWZC9DE576XCJFACXYXRW72CS9BVJYDHD,STX-A,64345,21663,False
SP1DKNN4M9A6H22HVWB50X2YZAVVWM2TSM7ZPPGQ2,STX-A,83080,22067,True
SP1BMZJH81KHYXDAQ8X6XKTTQTNSZ7EGPE2WCDW5W,STX-A,700000000,300000000,True
SP2RHCM6K2Z3D40Z4HR5XQ4N86W8GRT4FXDM3WX16,STX-A,1021936666,573000000,True
SP2T3TZZJ6T85KZ0DD3EP1VFYN3163S64XWQJ336C,STX-B,115837,66913,False
SP1QVGHAGCX3J8BQ8F1F2EAPABRP49C7H1PMQPBBG,STX-A,82413,21897,True
SP3FJQQ0PBB879F3BFDY8PZG5G73D5B2R4SP86H08,STX-A,65080,21803,False
SP33E9NRZQ3YCJM0A3Z6WA91JQKW62T5SPYHYTJHC,STX-A,590950550,152501698,True
SPPAK5TF8PG4QMKXEX2HECTGXWD2Y7HDBQP3K6VA,STX-A,25000000,12000000,True
SPJ25PPMNNVYSHRP9ZG6D6KXN4R7B4JFKQPRSFK3,STX-A,900000000,508000000,True
SP1T1NBZ3DJ2QBFYN411DPV8T67WRFB2WBBE55W2B,STX-A,710000000,421000000,True
SP6ZSYZ9F28C80KW9QGASQ8SQY4K0RFVRM5YM2C4,STX-A,50000000,20000000,True
SP1HW33XWKZERZCNCV8NNEAAVEKTJAGT7XTH6VG62,STX-A,178000000,94000000,True
,,0,0,False
SPK2780EBGCJG5BQKS62JG0SBPNBYNMYYF5XYFPE,STX-B,154,57,True
SP2277PPJAZDPPN9MH9ZDA1AJ2GGAEY2BDW09H1Z0,STX-A,3841580966,1097000000,True
SPNKK0WTGPHF75JHV2X4N47YWBZTZ95Y2CJ0WAH4,STX-A,2000000,696878,True
SP1WKGN88TVKD2YW17HR0WZSE7PG67HVHE2G1TD15,STX-A,10000000,5000000,True
SPJT8G4DA24ZDF35WMY5FZEQ9YJNK38DBN2D48QH,STX-A,138334081238,69672579777,True
SPDVAGX3EGETB7BJ6737FRS4DTNXC7CVSNFK7TSR,STX-B,2000000,1000000,True
,,0,0,False
SP1HCKCWNY6FGHD6BZSW8DJEYAHC9242WEHGZXZRD,STX-B,774202,285474,True
SP28QESDAEJ94D43QVFEPS51J7YVB4YW4XH2N66V7,STX-A,137000000,75000000,True
SP335ZC3W6M308ZKTSCCBMR54GWA20RSXCKJPZC59,STX-B,142000000000,35079520558,True
SPHPGBNFA4PK7NCVWXZ75CPPRA9Y8W0P6G7GV8KA,STX-A,9205472620,4428214790,True
SPWP00Z94PZNMX2BMN305M0Y9CWCCQ5PXQJQA1X0,STX-A,300000000,175000000,True
SP1JQNYF9ZYCDYZ36BWZFR4BAQYBGTKPTKXDC85SY,STX-B,25000000,16183350,True
SP2TPJBHCWM5QWRQ6TGY1D91H91DMHHJ20PW4JP83,STX-B,45000000,15000000,True
,,0,0,False
,,0,0,False
SPJNDBYSGM0Y6TVXDCQFVF7WT3GQ4Y511AVKV7Z2,STX-A,278000000,151801900,True
SPESYCD35SFVDXP4K6K6D9H6VN0EEJ78BQ17A6ME,STX-B,47762,29266,False
SP3ZSB9X1WA3VRJKN9B4W5KW47EDW36EJAMYMX615,STX-A,162245,43869,True
,,0,0,False
,,0,0,False
SPY90FYQ9SNEG6ZGZ5CMF3G5S7EHGEMQZCZX7BP0,STX-A,81462,22014,True
SP35X054NDBAY65ZPX3TN59S6XVM207BP8VY32ET7,STX-A,3813595494,924000000,True
SP36CEXSQ1FAT63Y821VM9NP227QZKFWG94Z3ZT4T,STX-A,82000000,44000000,True
SP1J5W1FN3P80XV1YK14BKC6A912WWFGJSW9M92HA,STX-A,1000000000,573000000,True
SP3FHNWS9Y4BP21MHEHTJYS7N4A7X7JJ3PA69T5BE,STX-A,57656,21621,True
SP20T2Y5FEBRR6D42RG109CB7VJ0BGCMT9BY3K2VF,STX-A,2920000000,1674000000,True
SPG4WQS3KDW55V9ZFYSBYDG29WJZF40W2N36SHHZ,STX-A,1000000000,551000000,True
SP32QDJRBEBT2JKFYMBNC667VWVD1WMQEVAAW2F9G,STX-A,81480,22026,True
SP3AWE771HSHKVAWXJKEFRFP79SB8FK3H8E6YMSRZ,STX-B,2000000,674111,True
SPWP00Z94PZNMX2BMN305M0Y9CWCCQ5PXQJQA1X0,STX-A,400000000,220000000,True
SP2ZWHRDG84WAZ9XHZGX36VQH4V93YB3T5YEP1RHK,STX-A,340000000,200000000,True
SPHFHDC26X93NX0R8R4YE747TCTBXJ8BVMV591VR,STX-A,83113,22067,True
SP1D55XWNJ6GT7GG218BMXEB8BDZ4EDB1QQFGBVD3,STX-A,64313,21668,False
SP1A6GA5HW38SXKQRXSV2DDET8XEJ9F8KSXNNS422,STX-A,183923,64796,True
SP35RHR3VMJKJMW7GQA7Z1PP85BS805ESPG74J3J0,STX-A,17000000,7000000,True
SP1098AD7T1M40R0CMSAZNWHD194D0T8GPR2NPN7S,STX-A,64480,21714,True
SP236Z1P0TEG4F7AHN8PSMSA9A4EMEQX6R9YD3V32,STX-A,64896,21746,True
SP1ZNREA926EJSED1PRJEJ8YSBPDNSQQQ7W76PBK7,STX-A,81396,22019,True
SPDVAGX3EGETB7BJ6737FRS4DTNXC7CVSNFK7TSR,STX-A,2000000,1000000,True
SPH315YR93G68PVV7BNWYT7GKG11E1GQZMJYEG2X,STX-A,1500000000,500000000,True
,,0,0,False
SP2DCZAFH72S458MNV9SEE3Q983V9CJG49X2J3P7G,STX-A,7965700498,2750000000,True
SP2QS5AZ7C14DW550P37GTPE0R8QS3X0SE0PAPRNK,STX-A,165445,43947,True
SP335ZC3W6M308ZKTSCCBMR54GWA20RSXCKJPZC59,STX-B,142000000000,35067152482,True
SP3EE6RY8YC69FG6B8VGQKWZ7RATZZF50XQKAT6KV,STX-A,83062,21996,True
SP3VB8JXCGQCKR2NP9SE0D4W28TZ2AMF6TBVQ3EQA,STX-A,500000000,270000000,True
SP2FHZCB4BWX89EE1V1Q4YZMF77ASX0GBCG13ZQM0,STX-A,250000000,136000000,True
SPXBCKJ7XHB27A3EFCE6216V22BFEBDMXWP8R9GJ,STX-A,92356873,49000000,False
SP335ZC3W6M308ZKTSCCBMR54GWA20RSXCKJPZC59,STX-B,142000000000,35081143120,True
SP20T2Y5FEBRR6D42RG109CB7VJ0BGCMT9BY3K2VF,STX-A,830000000,475000000,True
,,0,0,False
SP38E64WZT7E2Y2697AVM0382VJRJ5224J8CGC34V,STX-A,6000000,3000000,True
SP3Y23BS1CJK48RRCYMGVNCBK22H9V5XHKDKCAW9A,STX-A,57560,21585,True
SP2TG524TRXDS16NBCY6RG0PXN2HH4CZPKAT1BCT8,STX-A,12000000,3000000,True
SP2Y4Y133J0FG8F1MD1886TA465204FX3AXX0PAD2,STX-A,1000000000,500000000,True
SP2VHY30GZYGHDR0BBF6VFHGT5SG0VFX6TJB62QPV,STX-A,1000000000,250000000,True
SP3Z7K784HAPACE8GB10T6Z9FT8QV1MBP49837FX5,STX-A,30000000,12000000,True
SP322K5ZGHBZ4ZH72FQP6VQA1CETZ8CJRF983AESN,STX-A,81405,22022,True
SP35RVRR6R5T15Z46KJ1KFYKVDDQKM5YC2T3A8NEP,STX-A,50000000,28640500,True
SPHPGBNFA4PK7NCVWXZ75CPPRA9Y8W0P6G7GV8KA,STX-B,5362636226,2448814678,False
SP2GECXN2APY12P4NYXRZHDMQGHNP13YZRZXJY561,STX-A,100000000,51963887,True
SP3RY185H0R8TNX4PGRYFZ07AV001N23N1FJX9MEE,STX-A,6741968,1594020,True
SP3T23YN6MBF44YNV910FD8JNMN1NZYGKG3MMZ73X,STX-A,3000000,1000000,True
SPESYCD35SFVDXP4K6K6D9H6VN0EEJ78BQ17A6ME,STX-A,99524,58520,False
SP6K0M8D7MAFQ7RTRH31NDZXXFTA85Y8VGYQTHBR,STX-A,999668,637688,True
SP2XPPSEH7WFSTPEPXB06F6H08J01VVVE0JEPQWVD,STX-A,172704,64764,True
SP3M6D6M2BS7FNEFV111ZF6WQYATNJZ89Q7MXSPAE,STX-A,229472,80850,True
SPWP00Z94PZNMX2BMN305M0Y9CWCCQ5PXQJQA1X0,STX-A,2500000000,1400000000,True
SP3N6477YFKEGTNSADKNDGM4P8HQP16WF5BY008FV,STX-A,82796,22001,True
SP2MBFQ3DGMQR0Z4PRNY48HEPRRF9RT28MHY14SQP,STX-B,42000000,28000000,True
SP30JCCR06VXSZ1M2P4SEPEYWDCC501B3W5CVWMPF,STX-A,129762,43497,True
SP2SV0NA9HQ021FPFYKMHZ2ZR4W5S83JKPNN8WMJA,STX-A,600000000,343000000,True
SP2YPHY53YRNDVA46QEXTA0WHAQ01W1TCF4PGSJPT,STX-A,81513,22031,True
SP4CFPJA53W1VHVZ6WJ00G1M4CAX904PZ8EAAY03,STX-A,300000000,120000000,True
SP3T33CA7MX27X7EBK805ZCXB6E3QEHQCH1EHRC6F,STX-A,6200341224,2585216793,True
SP3J0PD5XMGN1TW1NW6SHRA3B5NM2AYNMV3MXK7K2,STX-A,65096,21815,False
,,0,0,False
